Empresa,Valor,share,share_acumulado,pct_fornecedores
Empresa 995,65729828.1906,0.0012769341366510854,0.49246856529691924,0.018436192468619248
Empresa 3319,65278120.5988,0.0012681588080121408,0.49373672410493136,0.01856694560669456
Empresa 5335,64878331.2104,0.0012603920949144209,0.49499711619984577,0.018697698744769873
Empresa 6920,64821821.425799996,0.001259294278671827,0.4962564104785176,0.01882845188284519
Empresa 1420,64757084.0718,0.0012580366253428185,0.4975144471038604,0.0189592050209205
Empresa 2606,64616806.134399995,0.0012553114442216135,0.49876975854808203,0.019089958158995817
Empresa 5429,64553607.234400004,0.0012540836784563543,0.5000238422265384,0.01922071129707113
Empresa 5656,63417895.411400005,0.0012320201916633927,0.5012558624182017,0.019351464435146442
Empresa 1411,62450151.1524,0.0012132198126896055,0.5024690822308914,0.019482217573221758
Empresa 4082,62324204.190799996,0.0012107730396019264,0.5036798552704933,0.01961297071129707
Empresa 2283,62144218.8144,0.0012072764616014985,0.5048871317320948,0.019743723849372386
Empresa 353,61636119.096,0.0011974056024632947,0.506084537334558,0.0198744769874477
Empresa 6417,60175052.9634,0.0011690214537140888,0.5072535587882722,0.02000523012552301
Empresa 340,59983033.185,0.0011652910832460554,0.5084188498715182,0.020135983263598327
Empresa 2584,59922641.3806,0.0011641178509596618,0.5095829677224779,0.02026673640167364
Empresa 3286,59842815.4828,0.0011625670723147813,0.5107455347947927,0.020397489539748955
Empresa 3080,59667088.7386,0.0011591532268116279,0.5119046880216043,0.020528242677824268
Empresa 5893,58903469.5396,0.0011443183877522932,0.5130490064093566,0.02065899581589958
Empresa 5937,57487755.3684,0.0011168152920846173,0.5141658217014412,0.020789748953974896
Empresa 2108,56197246.2548,0.0010917445565269844,0.5152575662579681,0.02092050209205021
Empresa 5288,55930260.761800006,0.0010865578262496175,0.5163441240842178,0.021051255230125524
Empresa 3206,55926990.403400004,0.0010864942929589487,0.5174306183771767,0.021182008368200837
Empresa 1974,55830969.3892,0.0010846288915994276,0.5185152472687762,0.02131276150627615
Empresa 7485,54936068.4084,0.0010672436398383484,0.5195824909086145,0.021443514644351465
Empresa 3073,54653132.8872,0.001061747048177652,0.5206442379567922,0.021574267782426777
Empresa 956,54324585.8094,0.001055364360276457,0.5216996023170686,0.021705020920502093
Empresa 3127,54173428.4764,0.001052427825010411,0.5227520301420789,0.021835774058577406
Empresa 2956,54122455.5064,0.0010514375725294406,0.5238034677146084,0.021966527196652718
Empresa 2080,54080843.4852,0.0010506291753096695,0.524854096889918,0.022097280334728034
Empresa 3094,53481117.8218,0.0010389782978724041,0.5258930751877904,0.022228033472803346
Empresa 5525,52972436.079,0.001029096131739413,0.5269221713195298,0.022358786610878662
Empresa 1994,52843151.1368,0.0010265845116637993,0.5279487558311936,0.022489539748953975
